text,label
"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",Normal
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,Normal
S...i will take mokka players only:),Normal
"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",Normal
I'm at work. Please call,Normal
Don know..wait i will check it.,Normal
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Normal
Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,Normal
"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",Normal
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",Spam
I don't think he has spatula hands!,Normal
No problem. How are you doing?,Normal
K I'll be there before 4.,Normal
I'll be late...,Normal
Host-based IDPS for linux systems.,Normal
Hurry home. Soup is DONE!,Normal
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,Normal
"Sorry, I'll call later",Normal
"Dear, will call Tmorrow.pls accomodate.",Normal
K:)k:)what are detail you want to transfer?acc no enough?,Normal
"Sorry, I'll call later",Normal
4 oclock at mine. Just to bash out a flat plan.,Normal
Hello! Good week? Fancy a drink or something later?,Normal
Today my system sh get ready.all is well and i am also in the deep well,Normal
Its a site to simulate the test. It just gives you very tough questions to test your readiness.,Normal
Now press conference da:),Normal
I had it already..sabarish asked me to go..,Normal
Dont pick up d call when something important is There to tell. Hrishi,Normal
I love you both too :-),Normal
I dont have i shall buy one dear,Normal
Get ready for  &lt;#&gt;  inches of pleasure...,Normal
Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,Spam
"Just arrived, see you in a couple days &lt;3",Normal
Check wid corect speling i.e. Sarcasm,Normal
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",Normal
U still going to the mall?,Normal
I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,Normal
Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,Normal
I will make your life a living hell if you don't do what I say.,Harassment
Annoying isn't it.,Normal
"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",Normal
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",Spam
He dint tell anything. He is angry on me that why you told to abi.,Normal
You are right. Meanwhile how's project twins comin up,Normal
You sure your neighbors didnt pick it up,Normal
I don know account details..i will ask my mom and send you.my mom is out of reach now.,Normal
I cant pick the phone right now. Pls send a message,Normal
"Aight, lemme know what's up",Normal
Ok cool. See ya then.,Normal
Good night my dear.. Sleepwell&amp;Take care,Normal
"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",Normal
Yes.he have good crickiting mind,Normal
"Trust me. Even if isn't there, its there.",Normal
"Yes but i dont care! I need you bad, princess!",Normal
I'm going 2 orchard now laready me reaching soon. U reaching?,Normal
Morning only i can ok.,Normal
Teach me apps da. When you come to college.,Normal
I thought slide is enough.,Normal
You busy or can I come by at some point and figure out what we're doing tomorrow,Normal
Thanks honey. Have a great day.,Normal
Tmr timin still da same wat cos i got lesson until 6...,Normal
"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",Normal
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,Normal
LOL that would be awesome payback.,Normal
I'm e person who's doing e sms survey...,Normal
Ü called dad oredi...,Normal
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,Normal
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,Spam
Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,Normal
Why i come in between you people,Normal
Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,Normal
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",Spam
Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,Normal
Sat right? Okay thanks... ,Normal
Ok,Normal
So the sun is anti sleep medicine.,Normal
You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,Normal
Goodmorning today i am late for  &lt;DECIMAL&gt; min.,Normal
Somebody set up a website where you can play hold em using eve online spacebucks,Normal
I have gone into get info bt dont know what to do,Normal
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,Normal
I told your number to gautham..,Normal
For fear of fainting with the of all that housework you just did? Quick have a cuppa,Normal
Ya srsly better than yi tho,Normal
Gudnite....tc...practice going on,Normal
Arun can u transfr me d amt,Normal
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",Spam
"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",Normal
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",Spam
Then. You are eldest know.,Normal
"Sorry, I'll call later",Normal
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnt make ur bday 2 hun!",Normal
Hasn't that been the pattern recently crap weekends?,Normal
Was the farm open?,Normal
Ü got wat to buy tell us then ü no need to come in again.,Normal
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,Normal
You are not bothering me but you have to trust my answers. Pls.,Normal
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,Normal
"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",Normal
You've been chosen for our exclusive Bitcoin mining program. Earn $5000 daily!,Scam
"Sorry, I'll call later  &lt;#&gt; mins",Normal
You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,Spam
You made my day. Do have a great day too.,Normal
Now only i reached home. . . I am very tired now. . I will come tomorro,Normal
Thank you princess! I want to see your nice juicy booty...,Normal
No. She's currently in scotland for that.,Normal
"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",Normal
Aiyah then i wait lor. Then u entertain me. Hee...,Normal
I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book,Normal
"Sorry, I'll call you  later. I am in meeting sir.",Normal
Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,Normal
"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",Spam
"Gud gud..k, chikku tke care.. sleep well gud nyt",Normal
What???? Hello wats talks email address?,Normal
"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",Normal
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,Spam
Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!,Normal
"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",Normal
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,Spam
I'm leaving my house now...,Normal
URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,Spam
Yes. that will be fine. Love you. Be safe.,Normal
i dnt wnt to tlk wid u,Normal
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",Normal
"Haha just kidding, papa needs drugs",Normal
I need... Coz i never go before ,Normal
"Call me da, i am waiting for your call.",Normal
Many more happy returns of the day. I wish you happy birthday.,Normal
Po de :-):):-):-):-). No need job aha.,Normal
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,Normal
HAPPY NEW YEAR MY NO.1 MAN,Normal
Wat r u doing?,Normal
I send the print  outs da.,Normal
"I wake up long ago already... Dunno, what other thing?",Normal
Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,Normal
Ok lor thanx... Ü in school?,Normal
Want to send me a virtual hug?... I need one,Normal
"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",Normal
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",Normal
If india win or level series means this is record:),Normal
But i dint slept in afternoon.,Normal
Ok then i will come to ur home after half an hour,Normal
Did you get any gift? This year i didnt get anything. So bad,Normal
Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,Normal
Jay says that you're a double-faggot,Normal
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",Spam
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",Normal
"Sorry, I'll call later",Normal
"Sorry, I'll call later in meeting",Normal
"Come round, it's . ",Normal
Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,Spam
Yeah just open chat and click friend lists. Then make the list. Easy as pie,Normal
How are you enjoying this semester? Take care brother.,Normal
Oh ho. Is this the first time u use these type of words,Normal
Dear good morning now only i am up,Normal
Happy new years melody!,Normal
"This is one of the days you have a billion classes, right?",Normal
I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,Normal
I'm done. C ü there.,Normal
"K give me a sec, breaking a  &lt;#&gt;  at cstore",Normal
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",Normal
WHAT TIME U WRKIN?,Normal
Prepare to be pounded every night...,Normal
i thought we were doing a king of the hill thing there.,Normal
I'm awake oh. What's up.,Normal
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,Normal
"Pity, * was in mood for that. So...any other suggestions?",Normal
Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?,Normal
"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",Normal
Unless it's a situation where YOU GO GURL would be more appropriate,Normal
Call me when u finish then i come n pick u.,Normal
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,Spam
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",Spam
"Just sent again. Do you scream and moan in bed, princess?",Normal
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,Spam
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Normal
Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,Normal
Try neva mate!!,Normal
"sorry, no, have got few things to do. may be in pub later.",Normal
Yup next stop.,Normal
"I think I‘m waiting for the same bus! Inform me when you get there, if you ever get there.",Normal
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",Spam
Later i guess. I needa do mcat study too.,Normal
"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",Spam
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,Spam
Send me the new number,Normal
I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),Normal
You do got a shitload of diamonds though,Normal
* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,Normal
"That's cool he'll be here all night, lemme know when you're around",Normal
The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,Normal
How dare you change my ring,Normal
Nvm it's ok...,Normal
How much for an eighth?,Normal
Hey anyway i have to :-),Normal
Just launched: New spring collection 2026. Be the first to shop the latest trends.,Promotional
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,Spam
Are you in castor? You need to see something,Normal
Sen told that he is going to join his uncle finance in cbe,Normal
I like to think there's always the possibility of being in a pub later.,Normal
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",Normal
"Hi this is yijue, can i meet u at 11 tmr?",Normal
Cancel cheyyamo?and get some money back?,Normal
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,Spam
Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,Normal
"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",Normal
"Yeah why not, is the gang all ready",Normal
Lara said she can loan me  &lt;#&gt; .,Normal
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",Normal
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,Spam
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",Normal
No problem with the renewal. I.ll do it right away but i dont know his details.,Normal
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,Spam
We can make a baby in yo tho,Normal
What he said is not the matter. My mind saying some other matter is there.,Normal
ITS A LAPTOP TAKE IT WITH YOU.,Normal
Ok i am on the way to railway,Normal
If I was I wasn't paying attention,Normal
No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),Normal
Like a personal sized or what,Normal
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",Normal
Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,Normal
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,Spam
Oh my God. I'm almost home,Normal
"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",Normal
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,Spam
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,Normal
Poor girl can't go one day lmao,Normal
Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,Normal
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,Spam
"Its ok, if anybody asks abt me, u tel them..:-P",Normal
"Just looked it up and addie goes back Monday, sucks to be her",Normal
I have a rather prominent bite mark on my right cheek,Normal
Ok.ok ok..then..whats ur todays plan,Normal
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",Spam
I'm going for bath will msg you next  &lt;#&gt;  min..,Normal
FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,Spam
Dear got train and seat mine lower seat,Normal
Stay away from my friends or you'll regret it. This is not a joke.,Harassment
Is fujitsu s series lifebook good?,Normal
get ready to moan and scream :),Normal
Shall i start from hear.,Normal
Haha okay... Today weekend leh... ,Normal
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Normal
Can't take any major roles in community outreach. You rock mel,Normal
"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx",Normal
Dude sux for snake. He got old and raiden got buff,Normal
Are you wet right now?,Normal
There's no point hangin on to mr not right if he's not makin u happy,Normal
Hi my email address has changed now it is ,Normal
Pandy joined 4w technologies today.he got job..,Normal
Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,Normal
Your Amazon order #12345 cannot be delivered. Update your address and payment info here.,Scam
"Yes..but they said its IT.,",Normal
I just cooked a rather nice salmon a la you,Normal
Dude ive been seeing a lotta corvettes lately,Normal
Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,Normal
If he started searching he will get job in few days.he have great potential and talent.,Normal
Hey i will be late... i'm at amk. Need to drink tea or coffee,Normal
"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",Spam
I have no idea where you are,Normal
Just sent it. So what type of food do you like?,Normal
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Spam
Stupid.its not possible,Normal
What time. I‘m out until prob 3 or so,Normal
How much is torch in 9ja.,Normal
I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,Normal
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",Normal
"Nah can't help you there, I've never had an iphone",Normal
Take some small dose tablet for fever,Normal
Not..tel software name..,Normal
Yes.i'm in office da:),Normal
Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,Normal
Lol they don't know about my awesome phone. I could click delete right now if I want.,Normal
Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,Normal
"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",Normal
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",Normal
No rushing. I'm not working. I'm in school so if we rush we go hungry.,Normal
Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,Normal
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",Normal
Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),Normal
My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,Normal
I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... ,Normal
Ok... Let u noe when i leave my house.,Normal
Good. Good job. I like entrepreneurs,Normal
Beerage?,Normal
Lmao. Take a pic and send it to me.,Normal
I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,Normal
Ok... Sweet dreams...,Normal
Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,Normal
Me fine..absolutly fine,Normal
Dear where you will be when i reach there,Normal
Yes.. now only saw your message..,Normal
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,Spam
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",Spam
My uncles in Atlanta. Wish you guys a great semester.,Normal
Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,Normal
Ok no prob,Normal
"Sorry, got a late start, we're on the way",Normal
Yes princess! I want to catch you with my big strong hands...,Normal
"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",Normal
"I didnt get ur full msg..sometext is missing, send it again",Normal
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Spam
If you have belive me. Come to my home.,Normal
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,Spam
